"ICD","Flag","ICDString","Phecode","PhecodeString","PhecodeCategory"
"E11.29","10","Type 2 diabetes mellitus with other diabetic kidney complication","250.22","Type 2 diabetes with renal manifestations","endocrine/metabolic"
"E10.52","10","Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene","250.15","Diabetes type 1 with peripheral circulatory disorders","endocrine/metabolic"
"E10.51","10","Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene","250.15","Diabetes type 1 with peripheral circulatory disorders","endocrine/metabolic"
"E10.5","10","Type 1 diabetes mellitus with circulatory complications","250.15","Diabetes type 1 with peripheral circulatory disorders","endocrine/metabolic"
"E10.59","10","Type 1 diabetes mellitus with other circulatory complications","250.15","Diabetes type 1 with peripheral circulatory disorders","endocrine/metabolic"
"E13.69","10","Other specified diabetes mellitus with other specified complication","250","Diabetes mellitus","endocrine/metabolic"
"E13.37X1","10","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, right eye","250","Diabetes mellitus","endocrine/metabolic"
"E13.649","10","Other specified diabetes mellitus with hypoglycemia without coma","250","Diabetes mellitus","endocrine/metabolic"
"E13","10","Other specified diabetes mellitus","250","Diabetes mellitus","endocrine/metabolic"
"E13.40","10","Other specified diabetes mellitus with diabetic neuropathy, unspecified","250","Diabetes mellitus","endocrine/metabolic"
"E13.618","10","Other specified diabetes mellitus with other diabetic arthropathy","250","Diabetes mellitus","endocrine/metabolic"
"E13.39","10","Other specified diabetes mellitus with other diabetic ophthalmic complication","250","Diabetes mellitus","endocrine/metabolic"
"E13.01","10","Other specified diabetes mellitus with hyperosmolarity with coma","250","Diabetes mellitus","endocrine/metabolic"
"E13.37X3","10","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral","250","Diabetes mellitus","endocrine/metabolic"
"E13.4","10","Other specified diabetes mellitus with neurological complications","250","Diabetes mellitus","endocrine/metabolic"
"E13.638","10","Other specified diabetes mellitus with other oral complications","250","Diabetes mellitus","endocrine/metabolic"
"E13.5","10","Other specified diabetes mellitus with circulatory complications","250","Diabetes mellitus","endocrine/metabolic"
"E13.62","10","Other specified diabetes mellitus with skin complications","250","Diabetes mellitus","endocrine/metabolic"
"E13.52","10","Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene","250","Diabetes mellitus","endocrine/metabolic"
"E13.9","10","Other specified diabetes mellitus without complications","250","Diabetes mellitus","endocrine/metabolic"
"E13.36","10","Other specified diabetes mellitus with diabetic cataract","250","Diabetes mellitus","endocrine/metabolic"
"E13.6","10","Other specified diabetes mellitus with other specified complications","250","Diabetes mellitus","endocrine/metabolic"
"E13.37X9","10","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye","250","Diabetes mellitus","endocrine/metabolic"
"E13.63","10","Other specified diabetes mellitus with oral complications","250","Diabetes mellitus","endocrine/metabolic"
"E13.51","10","Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene","250","Diabetes mellitus","endocrine/metabolic"
"E13.21","10","Other specified diabetes mellitus with diabetic nephropathy","250","Diabetes mellitus","endocrine/metabolic"
"E13.64","10","Other specified diabetes mellitus with hypoglycemia","250","Diabetes mellitus","endocrine/metabolic"
"E13.49","10","Other specified diabetes mellitus with other diabetic neurological complication","250","Diabetes mellitus","endocrine/metabolic"
"E13.61","10","Other specified diabetes mellitus with diabetic arthropathy","250","Diabetes mellitus","endocrine/metabolic"
"E13.621","10","Other specified diabetes mellitus with foot ulcer","250","Diabetes mellitus","endocrine/metabolic"
"E13.41","10","Other specified diabetes mellitus with diabetic mononeuropathy","250","Diabetes mellitus","endocrine/metabolic"
"E13.628","10","Other specified diabetes mellitus with other skin complications","250","Diabetes mellitus","endocrine/metabolic"
"E13.630","10","Other specified diabetes mellitus with periodontal disease","250","Diabetes mellitus","endocrine/metabolic"
"E13.0","10","Other specified diabetes mellitus with hyperosmolarity","250","Diabetes mellitus","endocrine/metabolic"
"E13.22","10","Other specified diabetes mellitus with diabetic chronic kidney disease","250","Diabetes mellitus","endocrine/metabolic"
"E13.8","10","Other specified diabetes mellitus with unspecified complications","250","Diabetes mellitus","endocrine/metabolic"
"E13.620","10","Other specified diabetes mellitus with diabetic necrobiosis lipoidica","250","Diabetes mellitus","endocrine/metabolic"
"E13.610","10","Other specified diabetes mellitus with diabetic neuropathic arthropathy","250","Diabetes mellitus","endocrine/metabolic"
"E13.42","10","Other specified diabetes mellitus with diabetic polyneuropathy","250","Diabetes mellitus","endocrine/metabolic"
"E13.44","10","Other specified diabetes mellitus with diabetic amyotrophy","250","Diabetes mellitus","endocrine/metabolic"
"E13.43","10","Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy","250","Diabetes mellitus","endocrine/metabolic"
"E13.37X2","10","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, left eye","250","Diabetes mellitus","endocrine/metabolic"
"E13.10","10","Other specified diabetes mellitus with ketoacidosis without coma","250","Diabetes mellitus","endocrine/metabolic"
"E13.1","10","Other specified diabetes mellitus with ketoacidosis","250","Diabetes mellitus","endocrine/metabolic"
"E13.65","10","Other specified diabetes mellitus with hyperglycemia","250","Diabetes mellitus","endocrine/metabolic"
"E13.00","10","Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)","250","Diabetes mellitus","endocrine/metabolic"
"E13.2","10","Other specified diabetes mellitus with kidney complications","250","Diabetes mellitus","endocrine/metabolic"
"E13.641","10","Other specified diabetes mellitus with hypoglycemia with coma","250","Diabetes mellitus","endocrine/metabolic"
"E13.11","10","Other specified diabetes mellitus with ketoacidosis with coma","250","Diabetes mellitus","endocrine/metabolic"
"E13.37","10","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment","250","Diabetes mellitus","endocrine/metabolic"
"E13.59","10","Other specified diabetes mellitus with other circulatory complications","250","Diabetes mellitus","endocrine/metabolic"
"E13.622","10","Other specified diabetes mellitus with other skin ulcer","250","Diabetes mellitus","endocrine/metabolic"
"E13.29","10","Other specified diabetes mellitus with other diabetic kidney complication","250","Diabetes mellitus","endocrine/metabolic"
"E13.3","10","Other specified diabetes mellitus with ophthalmic complications","250","Diabetes mellitus","endocrine/metabolic"
"E11.11","10","Type 2 diabetes mellitus with ketoacidosis with coma","250.21","Type 2 diabetes with ketoacidosis","endocrine/metabolic"
"E11.1","10","Type 2 diabetes mellitus with ketoacidosis","250.21","Type 2 diabetes with ketoacidosis","endocrine/metabolic"
"E11.10","10","Type 2 diabetes mellitus with ketoacidosis without coma","250.21","Type 2 diabetes with ketoacidosis","endocrine/metabolic"
"R73.09","10","Other abnormal glucose","250.42","Other abnormal glucose","endocrine/metabolic"
"R73.9","10","Hyperglycemia, unspecified","250.42","Other abnormal glucose","endocrine/metabolic"
"E10.49","10","Type 1 diabetes mellitus with other diabetic neurological complication","250.14","Type 1 diabetes with neurological manifestations","endocrine/metabolic"
"E10.41","10","Type 1 diabetes mellitus with diabetic mononeuropathy","250.14","Type 1 diabetes with neurological manifestations","endocrine/metabolic"
"E10.4","10","Type 1 diabetes mellitus with neurological complications","250.14","Type 1 diabetes with neurological manifestations","endocrine/metabolic"
"E10.42","10","Type 1 diabetes mellitus with diabetic polyneuropathy","250.14","Type 1 diabetes with neurological manifestations","endocrine/metabolic"
"E10.44","10","Type 1 diabetes mellitus with diabetic amyotrophy","250.14","Type 1 diabetes with neurological manifestations","endocrine/metabolic"
"E10.43","10","Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy","250.14","Type 1 diabetes with neurological manifestations","endocrine/metabolic"
"E10.40","10","Type 1 diabetes mellitus with diabetic neuropathy, unspecified","250.14","Type 1 diabetes with neurological manifestations","endocrine/metabolic"
"E10.21","10","Type 1 diabetes mellitus with diabetic nephropathy","250.12","Type 1 diabetes with renal manifestations","endocrine/metabolic"
"E10.2","10","Type 1 diabetes mellitus with kidney complications","250.12","Type 1 diabetes with renal manifestations","endocrine/metabolic"
"E10.22","10","Type 1 diabetes mellitus with diabetic chronic kidney disease","250.12","Type 1 diabetes with renal manifestations","endocrine/metabolic"
"E10.29","10","Type 1 diabetes mellitus with other diabetic kidney complication","250.12","Type 1 diabetes with renal manifestations","endocrine/metabolic"
"R81","10","Glycosuria","250.5","Glycosuria or Acetonuria","endocrine/metabolic"
"R82.4","10","Acetonuria","250.5","Glycosuria or Acetonuria","endocrine/metabolic"
"R73.0","10","Abnormal glucose","250.4","Abnormal glucose","endocrine/metabolic"
"E10.630","10","Type 1 diabetes mellitus with periodontal disease","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.618","10","Type 1 diabetes mellitus with other diabetic arthropathy","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.62","10","Type 1 diabetes mellitus with skin complications","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.9","10","Type 1 diabetes mellitus without complications","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.628","10","Type 1 diabetes mellitus with other skin complications","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.65","10","Type 1 diabetes mellitus with hyperglycemia","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.621","10","Type 1 diabetes mellitus with foot ulcer","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.8","10","Type 1 diabetes mellitus with unspecified complications","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.69","10","Type 1 diabetes mellitus with other specified complication","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.649","10","Type 1 diabetes mellitus with hypoglycemia without coma","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.610","10","Type 1 diabetes mellitus with diabetic neuropathic arthropathy","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.620","10","Type 1 diabetes mellitus with diabetic dermatitis","250.1","Type 1 diabetes","endocrine/metabolic"
"E10","10","Type 1 diabetes mellitus","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.622","10","Type 1 diabetes mellitus with other skin ulcer","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.6","10","Type 1 diabetes mellitus with other specified complications","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.638","10","Type 1 diabetes mellitus with other oral complications","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.641","10","Type 1 diabetes mellitus with hypoglycemia with coma","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.61","10","Type 1 diabetes mellitus with diabetic arthropathy","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.64","10","Type 1 diabetes mellitus with hypoglycemia","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.63","10","Type 1 diabetes mellitus with oral complications","250.1","Type 1 diabetes","endocrine/metabolic"
"E10.3541","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3533","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.339","10","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3219","10","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.321","10","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3521","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.37X9","10","Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3592","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.35","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.32","10","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.359","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3213","10","Type 1 diabetes with mild nonp rtnop with macular edema, bi","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3","10","Type 1 diabetes mellitus with ophthalmic complications","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3499","10","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3399","10","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3211","10","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3523","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3292","10","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.34","10","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3522","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.355","10","Type 1 diabetes mellitus with stable proliferative diabetic retinopathy","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3391","10","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.351","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3513","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.354","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.353","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3549","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3553","10","Type 1 diabetes with stable prolif diabetic rtnop, bilateral","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3392","10","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.37X2","10","Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3313","10","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3412","10","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.36","10","Type 1 diabetes mellitus with diabetic cataract","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3511","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.352","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.319","10","Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3413","10","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3551","10","Type 1 diabetes with stable prolif diabetic rtnop, right eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3599","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.311","10","Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.39","10","Type 1 diabetes mellitus with other diabetic ophthalmic complication","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.3532","10","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"E10.331","10","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
