"ICD","Flag","ICDString","Phecode","PhecodeString","PhecodeCategory"
"M05.371","10","Rheumatoid heart disease with rheumatoid arthritis of right ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.541","10","Rheumatoid polyneuropathy with rheumatoid arthritis of right hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.06","10","Rheumatoid arthritis without rheumatoid factor, knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.6","10","Rheumatoid arthritis with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.039","10","Feltys syndrome, unspecified wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.261","10","Rheumatoid vasculitis with rheumatoid arthritis of right knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.072","10","Rheumatoid arthritis without rheumatoid factor, left ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.20","10","Rheumatoid bursitis, unspecified site","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.812","10","Other rheumatoid arthritis with rheumatoid factor of left shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.8","10","Other rheumatoid arthritis with rheumatoid factor","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.10","10","Rheumatoid lung disease with rheumatoid arthritis of unspecified site","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.221","10","Rheumatoid vasculitis with rheumatoid arthritis of right elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.022","10","Feltys syndrome, left elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.33","10","Rheumatoid nodule, wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.69","10","Rheumatoid arthritis of multiple sites with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.532","10","Rheumatoid polyneuropathy with rheumatoid arthritis of left wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.24","10","Rheumatoid vasculitis with rheumatoid arthritis of hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.542","10","Rheumatoid polyneuropathy with rheumatoid arthritis of left hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.09","10","Feltys syndrome, multiple sites","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.70","10","Rheumatoid arthritis with rheumatoid factor of unspecified site without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.771","10","Rheumatoid arthritis with rheumatoid factor of right ankle and foot without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.069","10","Feltys syndrome, unspecified knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.811","10","Other rheumatoid arthritis with rheumatoid factor of right shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.64","10","Rheumatoid arthritis of hand with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.85","10","Other specified rheumatoid arthritis, hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.232","10","Rheumatoid vasculitis with rheumatoid arthritis of left wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.222","10","Rheumatoid bursitis, left elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.829","10","Other rheumatoid arthritis with rheumatoid factor of unspecified elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.741","10","Rheumatoid arthritis with rheumatoid factor of right hand without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.80","10","Other specified rheumatoid arthritis, unspecified site","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.67","10","Rheumatoid arthritis of ankle and foot with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.421","10","Rheumatoid myopathy with rheumatoid arthritis of right elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.84","10","Other rheumatoid arthritis with rheumatoid factor of hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.84","10","Other specified rheumatoid arthritis, hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.872","10","Other specified rheumatoid arthritis, left ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.229","10","Rheumatoid vasculitis with rheumatoid arthritis of unspecified elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.49","10","Rheumatoid myopathy with rheumatoid arthritis of multiple sites","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.319","10","Rheumatoid heart disease with rheumatoid arthritis of unspecified shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.029","10","Rheumatoid arthritis without rheumatoid factor, unspecified elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.049","10","Feltys syndrome, unspecified hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.76","10","Rheumatoid arthritis with rheumatoid factor of knee without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.449","10","Rheumatoid myopathy with rheumatoid arthritis of unspecified hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.271","10","Rheumatoid vasculitis with rheumatoid arthritis of right ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.55","10","Rheumatoid polyneuropathy with rheumatoid arthritis of hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.1","10","Adult-onset Stills disease","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.80","10","Other rheumatoid arthritis with rheumatoid factor of unspecified site","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.569","10","Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.29","10","Rheumatoid vasculitis with rheumatoid arthritis of multiple sites","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.01","10","Rheumatoid arthritis without rheumatoid factor, shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.719","10","Rheumatoid arthritis with rheumatoid factor of unspecified shoulder without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.072","10","Feltys syndrome, left ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.769","10","Rheumatoid arthritis with rheumatoid factor of unspecified knee without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.832","10","Other rheumatoid arthritis with rheumatoid factor of left wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.562","10","Rheumatoid polyneuropathy with rheumatoid arthritis of left knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.221","10","Rheumatoid bursitis, right elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.149","10","Rheumatoid lung disease with rheumatoid arthritis of unspecified hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.87","10","Other specified rheumatoid arthritis, ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.372","10","Rheumatoid nodule, left ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.819","10","Other rheumatoid arthritis with rheumatoid factor of unspecified shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.06","10","Feltys syndrome, knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.252","10","Rheumatoid bursitis, left hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.551","10","Rheumatoid polyneuropathy with rheumatoid arthritis of right hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.86","10","Other rheumatoid arthritis with rheumatoid factor of knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.629","10","Rheumatoid arthritis of unspecified elbow with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.031","10","Feltys syndrome, right wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.132","10","Rheumatoid lung disease with rheumatoid arthritis of left wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.051","10","Rheumatoid arthritis without rheumatoid factor, right hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.479","10","Rheumatoid myopathy with rheumatoid arthritis of unspecified ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.861","10","Other specified rheumatoid arthritis, right knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.342","10","Rheumatoid heart disease with rheumatoid arthritis of left hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.142","10","Rheumatoid lung disease with rheumatoid arthritis of left hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.432","10","Rheumatoid myopathy with rheumatoid arthritis of left wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.851","10","Other specified rheumatoid arthritis, right hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.0","10","Feltys syndrome","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.442","10","Rheumatoid myopathy with rheumatoid arthritis of left hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.552","10","Rheumatoid polyneuropathy with rheumatoid arthritis of left hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.171","10","Rheumatoid lung disease with rheumatoid arthritis of right ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.359","10","Rheumatoid nodule, unspecified hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.672","10","Rheumatoid arthritis of left ankle and foot with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.86","10","Other specified rheumatoid arthritis, knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.051","10","Feltys syndrome, right hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.612","10","Rheumatoid arthritis of left shoulder with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.669","10","Rheumatoid arthritis of unspecified knee with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.211","10","Rheumatoid bursitis, right shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.169","10","Rheumatoid lung disease with rheumatoid arthritis of unspecified knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.371","10","Rheumatoid nodule, right ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.032","10","Rheumatoid arthritis without rheumatoid factor, left wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.512","10","Rheumatoid polyneuropathy with rheumatoid arthritis of left shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.50","10","Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified site","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.471","10","Rheumatoid myopathy with rheumatoid arthritis of right ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.37","10","Rheumatoid heart disease with rheumatoid arthritis of ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.819","10","Other specified rheumatoid arthritis, unspecified shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.261","10","Rheumatoid bursitis, right knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.522","10","Rheumatoid polyneuropathy with rheumatoid arthritis of left elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.021","10","Rheumatoid arthritis without rheumatoid factor, right elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.271","10","Rheumatoid bursitis, right ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.131","10","Rheumatoid lung disease with rheumatoid arthritis of right wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.212","10","Rheumatoid vasculitis with rheumatoid arthritis of left shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.71","10","Rheumatoid arthritis with rheumatoid factor of shoulder without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.611","10","Rheumatoid arthritis of right shoulder with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.119","10","Rheumatoid lung disease with rheumatoid arthritis of unspecified shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.631","10","Rheumatoid arthritis of right wrist with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.47","10","Rheumatoid myopathy with rheumatoid arthritis of ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.66","10","Rheumatoid arthritis of knee with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.232","10","Rheumatoid bursitis, left wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.069","10","Rheumatoid arthritis without rheumatoid factor, unspecified knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.369","10","Rheumatoid nodule, unspecified knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.841","10","Other rheumatoid arthritis with rheumatoid factor of right hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.74","10","Rheumatoid arthritis with rheumatoid factor of hand without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.81","10","Other specified rheumatoid arthritis, shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.462","10","Rheumatoid myopathy with rheumatoid arthritis of left knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.249","10","Rheumatoid vasculitis with rheumatoid arthritis of unspecified hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.679","10","Rheumatoid arthritis of unspecified ankle and foot with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.21","10","Rheumatoid bursitis, shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.519","10","Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.012","10","Rheumatoid arthritis without rheumatoid factor, left shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.54","10","Rheumatoid polyneuropathy with rheumatoid arthritis of hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.26","10","Rheumatoid bursitis, knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.559","10","Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.751","10","Rheumatoid arthritis with rheumatoid factor of right hip without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.272","10","Rheumatoid vasculitis with rheumatoid arthritis of left ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.73","10","Rheumatoid arthritis with rheumatoid factor of wrist without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.31","10","Rheumatoid nodule, shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.369","10","Rheumatoid heart disease with rheumatoid arthritis of unspecified knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.23","10","Rheumatoid bursitis, wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.30","10","Rheumatoid nodule, unspecified site","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.02","10","Rheumatoid arthritis without rheumatoid factor, elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.019","10","Feltys syndrome, unspecified shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.761","10","Rheumatoid arthritis with rheumatoid factor of right knee without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.262","10","Rheumatoid bursitis, left knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.619","10","Rheumatoid arthritis of unspecified shoulder with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.212","10","Rheumatoid bursitis, left shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.259","10","Rheumatoid bursitis, unspecified hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.019","10","Rheumatoid arthritis without rheumatoid factor, unspecified shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.021","10","Feltys syndrome, right elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.721","10","Rheumatoid arthritis with rheumatoid factor of right elbow without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.9","10","Rheumatoid arthritis, unspecified","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.219","10","Rheumatoid bursitis, unspecified shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.12","10","Rheumatoid lung disease with rheumatoid arthritis of elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.561","10","Rheumatoid polyneuropathy with rheumatoid arthritis of right knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.841","10","Other specified rheumatoid arthritis, right hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.759","10","Rheumatoid arthritis with rheumatoid factor of unspecified hip without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.22","10","Rheumatoid vasculitis with rheumatoid arthritis of elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.869","10","Other specified rheumatoid arthritis, unspecified knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.111","10","Rheumatoid lung disease with rheumatoid arthritis of right shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.732","10","Rheumatoid arthritis with rheumatoid factor of left wrist without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.029","10","Feltys syndrome, unspecified elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.04","10","Feltys syndrome, hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.152","10","Rheumatoid lung disease with rheumatoid arthritis of left hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.772","10","Rheumatoid arthritis with rheumatoid factor of left ankle and foot without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.39","10","Rheumatoid nodule, multiple sites","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.671","10","Rheumatoid arthritis of right ankle and foot with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.36","10","Rheumatoid nodule, knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.452","10","Rheumatoid myopathy with rheumatoid arthritis of left hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.731","10","Rheumatoid arthritis with rheumatoid factor of right wrist without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.579","10","Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.829","10","Other specified rheumatoid arthritis, unspecified elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.269","10","Rheumatoid vasculitis with rheumatoid arthritis of unspecified knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.341","10","Rheumatoid nodule, right hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.332","10","Rheumatoid nodule, left wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.9","10","Rheumatoid arthritis with rheumatoid factor, unspecified","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.331","10","Rheumatoid nodule, right wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.372","10","Rheumatoid heart disease with rheumatoid arthritis of left ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.469","10","Rheumatoid myopathy with rheumatoid arthritis of unspecified knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.349","10","Rheumatoid heart disease with rheumatoid arthritis of unspecified hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.342","10","Rheumatoid nodule, left hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.869","10","Other rheumatoid arthritis with rheumatoid factor of unspecified knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.722","10","Rheumatoid arthritis with rheumatoid factor of left elbow without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.539","10","Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.88","10","Other specified rheumatoid arthritis, vertebrae","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.312","10","Rheumatoid heart disease with rheumatoid arthritis of left shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.32","10","Rheumatoid nodule, elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.161","10","Rheumatoid lung disease with rheumatoid arthritis of right knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.742","10","Rheumatoid arthritis with rheumatoid factor of left hand without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.451","10","Rheumatoid myopathy with rheumatoid arthritis of right hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.352","10","Rheumatoid heart disease with rheumatoid arthritis of left hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.229","10","Rheumatoid bursitis, unspecified elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.871","10","Other rheumatoid arthritis with rheumatoid factor of right ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.241","10","Rheumatoid bursitis, right hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.35","10","Rheumatoid nodule, hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.39","10","Rheumatoid heart disease with rheumatoid arthritis of multiple sites","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.44","10","Rheumatoid myopathy with rheumatoid arthritis of hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.259","10","Rheumatoid vasculitis with rheumatoid arthritis of unspecified hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.17","10","Rheumatoid lung disease with rheumatoid arthritis of ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.03","10","Feltys syndrome, wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.29","10","Rheumatoid bursitis, multiple sites","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.231","10","Rheumatoid bursitis, right wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.849","10","Other specified rheumatoid arthritis, unspecified hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.159","10","Rheumatoid lung disease with rheumatoid arthritis of unspecified hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.821","10","Other rheumatoid arthritis with rheumatoid factor of right elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.521","10","Rheumatoid polyneuropathy with rheumatoid arthritis of right elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.129","10","Rheumatoid lung disease with rheumatoid arthritis of unspecified elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.529","10","Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.879","10","Other specified rheumatoid arthritis, unspecified ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.842","10","Other specified rheumatoid arthritis, left hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.121","10","Rheumatoid lung disease with rheumatoid arthritis of right elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.871","10","Other specified rheumatoid arthritis, right ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.02","10","Feltys syndrome, elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.649","10","Rheumatoid arthritis of unspecified hand with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.339","10","Rheumatoid heart disease with rheumatoid arthritis of unspecified wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.461","10","Rheumatoid myopathy with rheumatoid arthritis of right knee","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.241","10","Rheumatoid vasculitis with rheumatoid arthritis of right hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.822","10","Other rheumatoid arthritis with rheumatoid factor of left elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.51","10","Rheumatoid polyneuropathy with rheumatoid arthritis of shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.11","10","Rheumatoid lung disease with rheumatoid arthritis of shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.179","10","Rheumatoid lung disease with rheumatoid arthritis of unspecified ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.349","10","Rheumatoid nodule, unspecified hand","714.1","Rheumatoid arthritis","musculoskeletal"
